Component,Quantity Per PCB,References,Value,Type,Footprint,DNP,Manufacturer,Manufacturer PN,Notes,Voltage,Dielectric,Hold Current,Sourcing Notes
51,8,"J31-J36,J47,J53",Temperature sensor (NTC),,Molex_Micro-Fit_3.0_43650-0215_1x02_P3.00mm_Vertical,,Molex,43650-0215,,,,,
52,1,J9,Touchscreen power,,Molex_Micro-Fit_3.0_43045-0212_2x01_P3.00mm_Vertical,,Molex,43045-0212,,,,,
53,1,J50,USB B micro,,USB_Micro-B_Molex-105017-0001,,Wuerth Elektronik,65100516121,,,,,
54,2,L1-L2,15uH,,L_TDK_SPM12565VT,,TDK,SPM12565VT-150M-D,,,,,
55,1,L4,6.8uH,,L_TDK_SPM12565VT,,TDK,SPM12565VT-6R8M-D,,,,,
56,1,L3,SRP1038A-3R3M,,L_Bourns_SRP1038,,Bourns,SRP1038A-3R3M,,,,,
57,1,NT1,Net-Tie_2,,NetTie-2_SMD_Pad0.5mm,,,,,,,,
58,4,Q16-Q19,BSC065N06LS5ATMA1,,VSONP-8-1EP_5x6_P1.27mm,,Infineon,BSC065N06LS5ATMA1,,,,,
59,4,"Q21-Q22,Q24-Q25",BSZ019N03LSATMA1,,VSON-8-SGD_3.3x3.3mm_P0.65mm_NexFET,,Infineon,BSZ019N03LSATMA1,,,,,
60,2,"Q7,Q10",MMBT2907A,,SOT-23,,Diodes Inc.,MMBT2907A-7-F,,,,,
61,14,"Q1-Q6,Q8-Q9,Q11-Q13,Q15,Q23,Q27",MMBT3904,,SOT-23,,Diodes Inc.,MMBT3904-7-F,,,,,
62,1,Q20,SI7145DP-T1-GE3,,VSONP-8-1EP_5x6_P1.27mm,,Vishay Siliconix,SI7145DP-T1-GE3,,,,,
63,7,"R89,R119,R121,R126,R223,R225,R230",0,,R_1206_3216Metric,,Yageo,RC1206JR-070RL,,25V,,,
64,23,"R22,R39-R40,R45,R48-R49,R51-R52,R90-R91
R140,R154-R158,R177-R178,R184,R186,R241,R248-R249",0,,R_0603_1608Metric,,Yageo,RC0603JR-070RL,,,,,
65,4,"R173,R188,R194,R211",0.005,,R_2512_6332Metric,,Rohm,PMR100HZPFU5L00,,,,,
66,2,"R101,R247",1.5k,,R_0603_1608Metric,,Yageo,RC0603FR-071K5L,,,,,
67,4,"R174,R201,R209-R210",10,,R_0603_1608Metric,,Yageo,RC0603FR-0710RL,,,,,
68,5,"R38,R192-R193,R252,R260",100,,R_0603_1608Metric,,Yageo,RC0603FR-07100RL,,,,,
69,18,"R10-R17,R63,R66,R71-R72,R170,R176,R212,R246
R257-R258",100k,,R_0603_1608Metric,,Yageo,RC0603FR-07100KL,,,,,
70,45,"R28,R35,R37,R44,R54-R61,R65,R68,R76,R81
R84,R92-R98,R113,R137-R138,R160,R162,R172,
R181-R182,R185,R191,R202,R204-R205,R207,R213,R215
R217,R243,R245,R250,R261",10k,,R_0603_1608Metric,,Yageo,RC0603FR-0710KL,,,,,
71,5,"R103,R105,R107,R109,R111",10k 0.1%,,R_0603_1608Metric,,Susumu,RG1608P-103-B-T5,,,,,
72,2,"R26,R33",16.9k,,R_0603_1608Metric,,Yageo,RC0603FR-0716K9L,,,,,
73,4,"R62,R77-R78,R214",1M,,R_0603_1608Metric,,Yageo,RC0603FR-071ML,,,,,
74,32,"R1-R8,R20-R21,R73-R74,R79-R80,R82-R83
R85-R86,R125,R128,R132-R133,R139,R141,R189,R195
R229,R232,R236-R237,R255-R256",1k,,R_0603_1608Metric,,Yageo,RC0603FR-071KL,,,,,
75,5,"R102,R104,R106,R108,R110",220 0.1%,,R_0603_1608Metric,,Susumu,RG1608P-221-B-T5,,,,,
76,3,"R25,R32,R70",249k,,R_0603_1608Metric,,Yageo,RC0603FR-07249KL,,,,,
77,1,R190,2k,,R_1206_3216Metric,,Yageo,RC1206FR-072KL,,,,,
78,4,"R29,R36,R64,R99",2k,,R_0603_1608Metric,,Yageo,RC0603FR-072KL,,,,,
79,1,R187,30.1k,,R_0603_1608Metric,,Yageo,RC0603FR-0730K1L,,,,,
80,3,"R23,R30,R175",316k,,R_0603_1608Metric,,Yageo,RC0603FR-07316KL,,,,,
81,11,"R124,R129-R130,R164-R165,R167-R168,R228,R233-R234
R251",39k,,R_0603_1608Metric,,Yageo,RC0603FR-0739KL,,,,,
82,12,"R118,R131,R134-R136,R179-R180,R222,R235,R238-R240",4.02k,,R_0603_1608Metric,,Yageo,RC0603FR-074K02L,,,,,
83,18,"R9,R18-R19,R41,R142-R153,R253-R254",4.7k,,R_0603_1608Metric,,Yageo,RC0603FR-074K7L,,,,,
84,4,"R67,R163,R166,R169",442k,,R_0603_1608Metric,,Yageo,RC0603FR-07442KL,,,,,
85,4,R196-R199,49.9,,R_1206_3216Metric,,Yageo,RC1206FR-0749R9L,,,,,
86,7,"R24,R27,R31,R34,R69,R171,R208",52.3k,,R_0603_1608Metric,,Yageo,RC0603FR-0752K3L,,,,,
87,1,R206,6.49k,,R_0603_1608Metric,,Yageo,RC0603FR-076K49L,,,,,
88,1,R75,680,,R_0603_1608Metric,,Yageo,RC0603FR-07680RL,,,,,
89,4,S1-S4,CT-1205H-SMT,,CT-1205H-SMT-TR,,CUI,CT-1205H-SMT-TR,,,,,
90,1,SW2,Reset CC,,SW_Push_6x6,,C&K,PTS645SK50SMTR92 LFS,,,,,
91,1,SW1,User TBD,,SW_Push_6x6,,C&K,PTS645SK50SMTR92 LFS,,,,,
92,1,TH1,10k,,R_0603_1608Metric,,Yageo,RC0603FR-0710KL,,,,,
93,22,"TP39-TP42,TP44-TP47,TP50-TP53,TP57-TP58,TP60,TP62
TP64,TP66,TP100-TP101,TP117-TP118",TestPoint_Flag,,TestPoint_Keystone_5019_Minature,,Keystone,5019,,,,,
94,1,U18,24LC256T-I_MS,,TSSOP-8_3x3mm_P0.65mm,,Microchip,24LC256T-I/MS,,,,,I/SN package (SOIC-8) is more common
95,2,"U22,U29",ADC128D818,,TSSOP-16_4.4x5mm_P0.65mm,,Texas Instruments,ADC128D818CIMTX/NOPB,,,,,
96,1,U9,BMP280,,Bosch_BMP280,,Bosch,BMP280,,,,,
97,1,U23,BQ24773,,QFN-28-1EP_4x4mm_P0.4mm_EP2.6x2.6mm_ThermalVias,,Texas Instruments,BQ24773RUYR,,,,,
98,1,U10,INA333AIDGKR,,VSSOP-8_3.0x3.0mm_P0.65mm,,Texas Instruments,INA333AIDGKR,,,,,
99,2,"U17,U27",L6470PD,,ST_POWERSO36_ThermalVias,,STMicroelectronics,L6470PD,,,,,
100,2,"U2,U4",LD39050PU33R,,DFN-6-1EP_3x3mm_P0.95mm_EP1.75x2.5mm,,STMicroelectronics,LD39050PU33R,,,,,
101,1,U25,LM5141,,VQFN-24-1EP_4x4mm_P0.5mm_EP2.45x2.45mm_ThermalVias,,Texas Instruments,LM5141RGER,,,,,
102,1,U24,MAX17320G20+,,WQFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,,Maxim IC,MAX17320G22+,,,,,Alt. MAX17320G20+
103,1,U19,SN74LVC2T45DCTR,,SSOP-8_2.95x2.8mm_P0.65mm,,Texas Instruments,SN74LVC2T45DCTR,,,,,
104,1,U30,STM32F103CBT6,,LQFP-48_7x7mm_P0.5mm,,STMicroelectronics,STM32F103CBT6,,,,,
105,1,U5,STM32L496VGT,,LQFP-100_14x14mm_P0.5mm,,STMicroelectronics,STM32L496VGT6,,,,,Either ...VGT6 or ...VGT3 can be used
106,1,U31,ShieldConnectors,,stm32shield,,,,,,,,
107,1,U20,TCA9544APWR,,TSSOP-20_4.4x6.5mm_P0.65mm,,Texas Instruments,TCA9544APWR,,,,,
108,1,U8,TL431LI,,SOT-23,,Texas Instruments,TL431LIAIDBZR,,,,,"...AQDBZR, BIDBZR, or BQDBZR also acceptable"
109,2,U6-U7,TLC555,,SOIC-8_3.9x4.9mm_P1.27mm,,Texas Instruments,TLC555QDR,,,,,...IDR also acceptable
110,2,"U16,U26",TPS1H100A,,TSSOP-14-1EP_4.4x5mm_P0.65mm,,Texas Instruments,TPS1H100AQPWPRQ1,,,,,
111,2,"U1,U3",TPS54561,,WSON-10-1EP_4x4mm_P0.8mm_EP2.6x3mm,,Texas Instruments,TPS54561DPRR,,,,,
112,5,U11-U15,USBLC6-2SC6,,SOT-23-6,,STMicroelectronics,USBLC6-2SC6,,,,,
113,1,Y2,32.768 kHz,,Crystal_SMD_Abracon_ABS25,,Abracon,ABS25-32.768KHZ-6-T,,,,,
114,1,Y3,8 Mhz,,Crystal_SMD_HC49-SD,,Abracon,ABLS-8.000MHZ-B4-T,,,,,
